Genomes	strain	ST	ID	length	replicon	K_locus	K_type	K_locus_confidence	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	rmpA2
168	GCA_002753075.1_ASM275307v1_genomic	ST340	CP024534.1	3825	ColRNAI	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	GCA_002753165.1_ASM275316v1_genomic	ST340	CP024536.1	187611	IncA/C2	KL15	K15	Very high	aadA2^	-	-	-	-	-	-	-	sul1	tet(A).v1	-	dfrA12	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	GCA_002753165.1_ASM275316v1_genomic	ST340	CP024537.1	147932	IncFIB(K),IncFII	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	GCA_002753165.1_ASM275316v1_genomic	ST340	CP024538.1	89345	IncFIA(HI1),IncR	KL15	K15	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	GCA_002753165.1_ASM275316v1_genomic	ST340	CP024539.1	4660	Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	GCA_002753165.1_ASM275316v1_genomic	ST340	CP024540.1	4510	Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
169	GCA_002753165.1_ASM275316v1_genomic	ST340	CP024541.1	3825	ColRNAI	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
170	GCA_002752995.1_ASM275299v1_genomic	ST37	CP024543.1	110374	IncFIA(HI1),IncFII	KL14	K14	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
170	GCA_002752995.1_ASM275299v1_genomic	ST37	CP024544.1	71587	IncFII(Yp)	KL14	K14	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
171	GCA_002753355.1_ASM275335v1_genomic	ST37	CP024546.1	110374	IncFIA(HI1),IncFII	KL14	K14	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
171	GCA_002753355.1_ASM275335v1_genomic	ST37	CP024547.1	71587	IncFII(Yp)	KL14	K14	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
172	GCA_002753405.1_ASM275340v1_genomic	ST340	CP024550.1	187611	IncA/C2	KL15	K15	High	aadA2^	-	-	-	-	-	-	-	sul1	tet(A).v1	-	dfrA12	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
172	GCA_002753405.1_ASM275340v1_genomic	ST340	CP024551.1	147932	IncFIB(K),IncFII	KL15	K15	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
172	GCA_002753405.1_ASM275340v1_genomic	ST340	CP024552.1	89345	IncFIA(HI1),IncR	KL15	K15	High	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
172	GCA_002753405.1_ASM275340v1_genomic	ST340	CP024553.1	4660	Col440I	KL15	K15	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
172	GCA_002753405.1_ASM275340v1_genomic	ST340	CP024554.1	4510	Col440I	KL15	K15	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
172	GCA_002753405.1_ASM275340v1_genomic	ST340	CP024555.1	3825	ColRNAI	KL15	K15	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
173	GCA_002753555.1_ASM275355v1_genomic	ST340	CP024557.1	217685	IncA/C2	KL15	K15	Very high	aac(3)-IId^;aac(6')-Ib4	-	-	-	-	mphA	catB3.v2	-	sul1;sul1	tet(A).v1	-	-	-	-	-	-	IMP-4	-	-	-	-	-	-	-	-	-	-	-	-	-
173	GCA_002753555.1_ASM275355v1_genomic	ST340	CP024558.1	147945	IncFIB(K),IncFII	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
173	GCA_002753555.1_ASM275355v1_genomic	ST340	CP024559.1	89345	IncFIA(HI1),IncR	KL15	K15	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
173	GCA_002753555.1_ASM275355v1_genomic	ST340	CP024560.1	4660	Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
173	GCA_002753555.1_ASM275355v1_genomic	ST340	CP024561.1	4510	Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
173	GCA_002753555.1_ASM275355v1_genomic	ST340	CP024562.1	3825	ColRNAI	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
174	GCA_002752975.1_ASM275297v1_genomic	ST340	CP024564.1	187611	IncA/C2	KL15	K15	Very high	aadA2^	-	-	-	-	-	-	-	sul1	tet(A).v1	-	dfrA12	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
174	GCA_002752975.1_ASM275297v1_genomic	ST340	CP024565.1	147932	IncFIB(K),IncFII	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
174	GCA_002752975.1_ASM275297v1_genomic	ST340	CP024566.1	89345	IncFIA(HI1),IncR	KL15	K15	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
174	GCA_002752975.1_ASM275297v1_genomic	ST340	CP024567.1	4660	Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
174	GCA_002752975.1_ASM275297v1_genomic	ST340	CP024568.1	4510	Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
174	GCA_002752975.1_ASM275297v1_genomic	ST340	CP024569.1	3825	ColRNAI	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002753605.1_ASM275360v1_genomic	ST340	CP024571.1	187611	IncA/C2	KL15	K15	Very high	aadA2^	-	-	-	-	-	-	-	sul1	tet(A).v1	-	dfrA12	TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002753605.1_ASM275360v1_genomic	ST340	CP024572.1	147932	IncFIB(K),IncFII	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002753605.1_ASM275360v1_genomic	ST340	CP024573.1	90173	IncFIA(HI1),IncR	KL15	K15	Very high	aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1	-	sul2	-	-	-	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002753605.1_ASM275360v1_genomic	ST340	CP024574.1	9326	Col440I,Col440I	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002753605.1_ASM275360v1_genomic	ST340	CP024575.1	3825	ColRNAI	KL15	K15	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002386225.2_ASM238622v2_genomic	ST340	CP024579.1	4163	Col440I	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002386225.2_ASM238622v2_genomic	ST340	CP024580.1	4709	Col440I	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
175	GCA_002386225.2_ASM238622v2_genomic	ST340	CP024581.1	67964	IncA/C2	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
176	GCA_003932915.1_ASM393291v1_genomic	ST65	CP024708.1	237216	IncFIB(K),IncHI1B	KL2	K2	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	13	1	1	2	4-0%	2	rmpA2_6*-47%
176	GCA_003932915.1_ASM393291v1_genomic	ST65	CP024709.1	47126	-	KL2	K2	Very high	aac(6')-Ib3^	-	-	qnrS1	-	-	-	arr-3	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
177	GCA_002787755.1_ASM278775v1_genomic	ST147	CP024835.1	112150	IncFII(pKPX1)	KL64	K64	Perfect	-	-	-	qnrB1.v2^	-	-	-	arr-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
177	GCA_002787755.1_ASM278775v1_genomic	ST147	CP024836.1	96185	IncFII	KL64	K64	Perfect	aadA2^;rmtB	-	-	-	-	ermB.v1*;mphA?	-	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	NDM-5	-	-	-	-	-	-	-	-	-	-	-	-	-
177	GCA_002787755.1_ASM278775v1_genomic	ST147	CP024837.1	69628	-	KL64	K64	Perfect	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
178	GCA_002786755.1_ASM278675v1_genomic	ST147	CP024839.1	130922	IncFII(pKPX1)	KL64	K64	Very high	aac(6')-Ib;aadA2^;rmtF	-	-	qnrB1.v2^	-	-	catII.2*	arr-2	-	-	-	dfrA12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
178	GCA_002786755.1_ASM278675v1_genomic	ST147	CP024840.1	96185	IncFII	KL64	K64	Very high	aadA2^;rmtB	-	-	-	-	ermB.v1*;mphA?	-	-	sul1	-	-	dfrA12	TEM-1D.v1^	-	-	-	NDM-5	-	-	-	-	-	-	-	-	-	-	-	-	-
178	GCA_002786755.1_ASM278675v1_genomic	ST147	CP024841.1	72689	-	KL64	K64	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
179	GCA_003031325.1_ASM303132v1_genomic	ST15	CP024875.1	227692	IncFIB(K),IncHI1B	KL19	K19	High	-	-	-	-	-	-	catA1*	-	-	tet(D)	-	dfrA5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
179	GCA_003031325.1_ASM303132v1_genomic	ST15	CP024876.1	129299	IncFII	KL19	K19	High	aac(3)-IId^;aac(6')-Ib-cr.v2;aadA16*;aph3-Ia.v1;strA.v1^;strB.v1	-	-	-	-	mphA	-	arr-3	sul2*	tet(A).v1	-	dfrA27	-	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
179	GCA_003031325.1_ASM303132v1_genomic	ST15	CP024877.1	109720	IncFIB(pKPHS1)	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
179	GCA_003031325.1_ASM303132v1_genomic	ST15	CP024878.1	73339	IncL/M(pOXA-48)	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	SHV-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
179	GCA_003031325.1_ASM303132v1_genomic	ST15	CP024879.1	38383	IncN2	KL19	K19	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NDM-1	-	-	-	-	-	-	-	-	-	-	-	-	-
180	GCA_003031345.1_ASM303134v1_genomic	ST147	CP024917.1	126018	IncFII	KL10	K10	Very high	aac(6')-Ib-cr.v2;aadA16*	-	-	qnrB6^	-	mphA	-	arr-3	sul1;sul1	tet(A).v1	-	dfrA27	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
180	GCA_003031345.1_ASM303134v1_genomic	ST147	CP024918.1	81261	IncI	KL10	K10	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
180	GCA_003031345.1_ASM303134v1_genomic	ST147	CP024919.1	33858	IncX4	KL10	K10	Very high	-	mcr-1.1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
181	GCA_002812365.1_ASM281236v1_genomic	ST258	CP025006.1	167373	IncFIB(K),IncFII	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
181	GCA_002812365.1_ASM281236v1_genomic	ST258	CP025007.1	51423	-	KL106	unknown (KL106)	Good	aph3-Ia.v1^	-	-	-	-	mphA	-	-	-	-	-	-	-	-	SHV-12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
182	GCA_002812385.1_ASM281238v1_genomic	ST258	CP025009.1	176049	ColRNAI,IncFIB(K),IncFII	KL106	unknown (KL106)	Good	aac(6')-Ib'.v1;aph3-Ia.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
182	GCA_002812385.1_ASM281238v1_genomic	ST258	CP025010.1	118202	IncFIB(pQil),IncFII	KL106	unknown (KL106)	Good	aac(6')-Ib'.v1	-	-	-	-	-	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
183	GCA_002812665.1_ASM281266v1_genomic	ST258	CP025038.1	199686	IncFIB(K),IncFII	KL107	unknown (KL107)	High	aadA2^	-	-	-	-	-	catA1^	-	sul1	-	-	dfrA12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
183	GCA_002812665.1_ASM281266v1_genomic	ST258	CP025039.1	146689	FII(pBK30683),IncFIA(HI1)	KL107	unknown (KL107)	High	aac(6')-Ib'.v1;aadA*;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	-	-	dfrA14.v1^	OXA-9.v1;TEM-1D.v1^	-	-	-	KPC-3	-	-	-	-	-	-	-	-	-	-	-	-	-
183	GCA_002812665.1_ASM281266v1_genomic	ST258	CP025040.1	83541	IncFII(Yp)	KL107	unknown (KL107)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
183	GCA_002812665.1_ASM281266v1_genomic	ST258	CP025041.1	63772	IncX3,IncX3	KL107	unknown (KL107)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
183	GCA_002812665.1_ASM281266v1_genomic	ST258	CP025042.1	35713	-	KL107	unknown (KL107)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
184	GCA_002813595.1_ASM281359v1_genomic	ST23	CP025081.1	231583	IncFIB(K),IncHI1B	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	4	1	1	2	2	2	rmpA2_6*-47%
185	GCA_002833445.1_ASM283344v1_genomic	ST307	CP025141.1	204734	IncA/C2	KL102	unknown (KL102)	Very high	aac(6')-33;ant(2'')-Ia	-	-	-	-	-	-	-	sul1;sul2	-	-	-	TEM-1D.v1	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
185	GCA_002833445.1_ASM283344v1_genomic	ST307	CP025142.1	152230	IncFIB(K)	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
186	GCA_002833425.1_ASM283342v1_genomic	ST307	CP025144.1	204123	IncA/C2	KL102	unknown (KL102)	Very high	aac(6')-33;ant(2'')-Ia	-	-	-	-	-	-	-	sul1;sul2	-	-	-	TEM-1D.v1	-	-	-	KPC-2*	-	-	-	-	-	-	-	-	-	-	-	-	-
186	GCA_002833425.1_ASM283342v1_genomic	ST307	CP025145.1	149158	IncFIB(K)	KL102	unknown (KL102)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
187	GCA_002833465.1_ASM283346v1_genomic	ST307	CP025147.1	205953	IncA/C2	KL102	unknown (KL102)	High	aac(6')-33;ant(2'')-Ia	-	-	-	-	-	-	-	sul1;sul2	-	-	-	TEM-1D.v1	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
187	GCA_002833465.1_ASM283346v1_genomic	ST307	CP025148.1	161986	IncFIB(K)	KL102	unknown (KL102)	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
188	GCA_002966875.1_ASM296687v1_genomic	ST34	CP025212.1	145759	IncFIB(K)	unknown (KL104)	unknown (KL104)	None	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
188	GCA_002966875.1_ASM296687v1_genomic	ST34	CP025213.1	103957	IncR	unknown (KL104)	unknown (KL104)	None	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
188	GCA_002966875.1_ASM296687v1_genomic	ST34	CP025214.1	87395	IncFII(pKPX1)	unknown (KL104)	unknown (KL104)	None	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
188	GCA_002966875.1_ASM296687v1_genomic	ST34	CP025215.1	68637	IncX3,IncX3	unknown (KL104)	unknown (KL104)	None	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	NDM-7	-	-	-	-	-	-	-	-	-	-	-	-	-
189	GCA_002848545.1_ASM284854v1_genomic	ST11	CP025457.1	223274	IncFIB(K),IncFII	KL47	K47	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
189	GCA_002848545.1_ASM284854v1_genomic	ST11	CP025458.1	128563	IncFII(pHN7A8),IncR	KL47	K47	Very high	rmtB	-	-	-	-	-	catII.2*	-	-	-	-	-	TEM-1D.v1^	-	CTX-M-65;SHV-12	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
189	GCA_002848545.1_ASM284854v1_genomic	ST11	CP025459.1	10060	ColRNAI	KL47	K47	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
189	GCA_002848545.1_ASM284854v1_genomic	ST11	CP025460.1	5596	ColRNAI	KL47	K47	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
190	GCA_002848585.1_ASM284858v1_genomic	ST11	CP025462.1	261706	IncFIB(Mar),IncHI1B	KL47	K47	Very high	aac(3)-IId^	-	-	-	-	mphA	-	-	-	-	-	-	TEM-1D.v1^	-	-	-	-	1	1	1	1	1	-	-	-	-	-	-	-	rmpA2_8-60%
190	GCA_002848585.1_ASM284858v1_genomic	ST11	CP025463.1	161580	IncFII(pHN7A8),IncR	KL47	K47	Very high	rmtB	-	-	-	-	-	catII.2*	-	-	-	-	-	-	-	CTX-M-65;SHV-12	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
190	GCA_002848585.1_ASM284858v1_genomic	ST11	CP025464.1	10060	ColRNAI	KL47	K47	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
190	GCA_002848585.1_ASM284858v1_genomic	ST11	CP025465.1	5596	ColRNAI	KL47	K47	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
191	GCA_002848565.1_ASM284856v1_genomic	ST11	CP025467.1	246557	IncFIB(pKPHS1)	KL103	unknown (KL103)	Very high	aac(6')-Ib4^;aadA1.v1^;aphA15	-	fosA3	-	-	-	catB2.v1	-	-	-	-	-	TEM-1D.v1^	-	CTX-M-3;SHV-12	-	VIM-1	-	-	-	-	-	-	-	-	-	-	-	-	-
191	GCA_002848565.1_ASM284856v1_genomic	ST11	CP025468.1	129684	IncFII,IncR	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KPC-2	-	-	-	-	-	-	-	-	-	-	-	-	-
191	GCA_002848565.1_ASM284856v1_genomic	ST11	CP025469.1	3353	ColRNAI	KL103	unknown (KL103)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
191	GCA_002848565.1_ASM284856v1_genomic	ST11	CP025470.1	106402	IncA/C2	KL103	unknown (KL103)	Very high	aadA2^;rmtB;strA.v1^;strB.v1	-	-	-	-	-	-	-	sul2	tet(G).v1	-	dfrA12	TEM-1D.v1^;TEM-1D.v1^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
192	GCA_002848605.1_ASM284860v1_genomic	ST147	CP025516.1	159714	IncFIB(K)	KL10	K10	High	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
192	GCA_002848605.1_ASM284860v1_genomic	ST147	CP025517.1	77809	IncFIA(HI1),IncR	KL10	K10	High	aac(6')-Ib'.v1;aadA*;aadA*;aph(3')-VI	-	-	qnrS1	-	ereA2*	cmlA5	arr-2	sul1*	-	-	-	OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	NDM-9	-	-	-	-	-	-	-	-	-	-	-	-	-
193	GCA_004010995.1_ASM401099v1_genomic	ST101	CP025577.1	215872	IncFIB(K),IncFII	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
193	GCA_004010995.1_ASM401099v1_genomic	ST101	CP025578.1	80272	IncFIA(HI1),IncR	KL106	unknown (KL106)	Good	aac(3)-IId^;strA.v1*;strB.v1*	-	-	qnrB1.v1	-	-	-	-	sul2	-	-	dfrA14.v1^	TEM-1D.v1^	-	CTX-M-15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
193	GCA_004010995.1_ASM401099v1_genomic	ST101	CP025579.1	4572	Col440I	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
193	GCA_004010995.1_ASM401099v1_genomic	ST101	CP025580.1	4163	Col440I	KL106	unknown (KL106)	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
194	GCA_002870905.1_ASM287090v1_genomic	ST23	CP025632.1	169967	IncFIB(K),IncHI1B	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	4	1	1	-	-	2	rmpA2_8*-60%
195	GCA_002870925.1_ASM287092v1_genomic	ST23	CP025634.1	172768	IncFIB(K),IncHI1B	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	4	1	1	2	3	2	rmpA2_5-54%
195	GCA_002870925.1_ASM287092v1_genomic	ST23	CP025635.1	110182	IncFIB(pKPHS1)	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
196	GCA_002870865.1_ASM287086v1_genomic	ST485	CP025637.1	86207	-	KL5	K5	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
196	GCA_002870865.1_ASM287086v1_genomic	ST485	CP025638.1	153586	IncFIB(K),IncHI1B	KL5	K5	Good	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	10	1	1	1	1	2	2	2	rmpA2_6*-47%
197	GCA_002870885.1_ASM287088v1_genomic	ST23	CP025640.1	190470	IncHI1B	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	-	-	-	rmpA2_8-60%
198	GCA_002870945.1_ASM287094v1_genomic	ST1941	CP025642.1	197806	IncFIB(K),IncHI1B	KL1	K1	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	4	1	1	2	2	2*-68%	rmpA2_6*-47%
199	GCA_004014965.1_ASM401496v1_genomic	-	CP025683.1	139211	IncFIB(K)	KL28	K28	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
200	GCA_002887435.1_ASM288743v1_genomic	ST340	CP025817.1	101557	IncFIB(K)	KL151	unknown (KL151)	Very high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
200	GCA_002887435.1_ASM288743v1_genomic	ST340	CP025818.1	30492	Col440I,Col440I,Col440I,Col440I,Col440II,ColRNAI,IncR	KL151	unknown (KL151)	Very high	-	-	-	qnrB19^	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
